time;P5mM.1;P5mM.2;P5mM.3;P10mM.1;P10mM.2;P10mM.3;P20mM.1;P20mM.2;P20mM.3;P40mM.1;P450uM.1;P40mM.2;P60mM.1;P60mM.2;P60mM.3;P100mM.1;P100mM.2;P100mM.3;C5mM.1;C10mM.1;C10mM.2;C20mM.1;C40mM.1;C40mM.2;C60mM.1;C600uM.1;C100mM.1;C100mM.2;P900uM.1;P900uM.2;P900uM.3;P900uM.4;P900uM.5;P750uM.1;P750uM.2;P750uM.3;P750uM.4;P750uM.5;P600uM.1;P600uM.2;P600uM.3;P600uM.4;P600uM.5;P600uM.6;P600uM.7;P450uM.1;P450uM.2;P450uM.3;P300uM.1;P300uM.2;P300uM.3;P300uM.4;P300uM.5;P300uM.6;P150uM.1;P150uM.2;P150uM.3;P150uM.4;P75uM.1;C5mM.2;C5mM.3;C10mM.1;C20mM.1;C20mM.3;C20mM.4;C20mM.5;C20mM.6;C20mM.7;C20mM.8;C40mM.1;C40mM.2;C40mM.3;C40mM.4;C40mM.5;C40mM.6;C40mM.7;C40mM.8;C40mM.9;C40mM.10;C40mM.11;C40mM.12;C60mM.1;C60mM.2;C60mM.3;C60mM.4;C60mM.5;C60mM.6;C100mM.1;C100mM.2;C100mM.3;C100mM.4;C100mM.5;P5mM.2;P10mM.1;P10mM.2;P10mM.3;P20mM.1;P20mM.2;P20mM.3
11;95.63367;94.40916;93.87851;95.89001;93.01511;98.67955;98.967;99.69883;96.79295;96.96832;95.78052;94.3177;97.021;98.4325;95.37844;99.3301;100.9426;101.133;103.5102;106.1885;95.97882;100.1847;104.0647;97.5755;98.0222;103.4409;96.4789;102.9332;123.1356;119.066;111.2739;119.2427;110.8959;110.6631;107.8539;124.6238;111.529;112.5524;108.673;104.3988;114.4639;118.4162;126.019;131.0773;122.3896;103.4965;119.8928;112.562;103.77583;98.543;98.543;107.10069;107.42268;107.42268;107.42268;94.7664;108.5376;110.69;99.657;91.5586;87.32334;84.4989;101.8718;89.30762;103.1677;84.71193;94.2385;102.2982;108.9001;99.2485;102.9845;108.9155;107.8471;104.7986;105.6758;105.0105;114.0935;107.4005;104.8795;103.2903;105.4779;93.7333;97.3908;97.5839;93.6304;101.9602;105.3816;100.7304;95.5995;98.88634;102.11297;97.24444;83.75804;92.99522;87.95776;87.79122;98.7751;102.5811;96.06779
12;94.56581;93.45293;93.92522;95.23042;92.93913;97.8284;97.906;99.40458;95.59414;97.22198;95.4509;92.7754;94.5756;97.95491;94.74581;97.9741;97.9823;100.1871;100.7719;104.4822;95.65005;98.7685;101.8779;96.2726;96.2702;102.3085;95.7096;102.2935;125.9714;119.5145;111.5905;119.7535;110.15;112.1292;111.8559;125.4894;111.538;112.3593;113.91;109.5181;117.0323;121.2672;126.1996;132.4492;124.3614;106.3867;121.4624;114.789;104.41823;100.502;100.502;106.73557;107.88297;107.88297;107.88297;95.37949;108.523;108.8229;99.734;91.4642;85.91191;85.8494;100.4414;89.38398;101.9445;87.03696;93.6643;100.7764;106.4545;96.0707;99.4068;104.2599;102.01;101.0846;102.415;102.8585;112.4779;104.4706;102.3814;100.8635;103.6836;91.3579;94.533;95.7266;92.41;98.4964;102.7861;99.5551;92.93;98.22252;101.61162;96.97704;83.99714;93.74494;88.12037;88.19064;96.194;100.817;95.91246
13;94.21878;92.62151;93.48207;94.54388;92.34107;97.08302;96.374;98.08401;95.6086;97.59042;95.10159;91.8839;94.7316;96.99577;93.92819;96.9989;95.6108;100.1143;99.3478;103.0401;95.30556;96.87;99.5335;95.1616;95.0105;101.3579;95.1178;101.0613;125.9746;118.7558;111.631;119.3094;108.7403;111.6594;114.3368;125.5062;111.093;112.0273;116.402;112.6291;117.272;119.4895;126.0906;130.1549;120.9285;107.0004;121.7126;113.437;104.26791;100.689;100.689;106.25816;108.32652;108.32652;108.32652;95.72112;108.6413;107.6245;100.169;91.7574;84.12493;85.7427;100.3273;89.56635;101.0261;86.57945;93.7693;100.398;102.8959;92.6664;97.7592;101.792;100.1915;96.2537;98.7198;100.7172;108.8314;102.1673;100.462;99.6296;102.7875;88.7304;92.7805;94.8012;92.5139;98.8127;100.5936;98.7621;94.2957;97.25263;100.87621;96.50868;81.33681;91.11971;87.8325;87.85417;97.7242;101.3347;95.28648
14;93.501;92.35995;92.57484;93.99886;92.00589;97.51208;96.1331;97.45983;95.00901;97.08868;94.5794;91.2078;94.5867;96.88705;93.64907;96.7218;93.5104;96.6995;97.3821;100.9493;94.49529;95.0746;96.9219;94.2935;93.8541;100.1784;93.3917;99.8139;124.716;118.4076;112.8823;118.8524;107.5616;111.4028;115.7357;125.2827;111.393;111.4338;115.499;115.4934;117.7683;121.0116;125.6358;131.7879;122.3462;106.9704;120.1319;111.77;103.72844;102.498;102.498;106.10815;108.52197;108.52197;108.52197;96.66179;108.3728;105.9508;99.844;90.9117;83.38797;85.9273;99.2004;89.14938;100.1635;83.86187;92.934;100.2101;100.8673;90.6884;94.8606;96.7442;93.1101;97.1384;98.262;97.8929;104.709;101.238;99.7824;98.429;101.2498;87.835;88.576;93.6008;92.7465;97.915;99.2774;98.532;92.0438;96.96593;100.75172;96.91216;83.89471;93.74297;85.69291;88.3712;97.1647;101.0799;94.91036
15;93.30131;91.96562;92.45994;93.44972;91.44247;96.85841;95.896;96.92312;95.23298;97.7047;95.07525;90.3724;93.5681;96.26442;93.82553;95.6426;92.6627;96.2316;96.3587;99.2547;94.118;93.3631;96.6443;93.2573;92.2105;99.8154;92.8924;99.2308;124.8702;117.6459;111.121;118.5327;107.1526;111.2169;117.0296;124.5012;110.438;110.9847;114.843;117.6134;117.5005;120.003;123.6296;129.0131;120.3875;106.914;119.1232;110.871;103.31596;102.907;102.907;104.72112;109.23196;109.23196;109.23196;96.57842;107.9704;104.7163;100.276;89.288;82.85702;85.6702;95.1206;87.8652;99.687;85.6468;91.7264;99.4154;97.5636;88.1064;93.9142;96.5707;95.0766;93.2867;95.6228;96.3918;106.415;97.5093;98.0636;94.3897;98.881;87.4495;88.9348;89.4677;91.4163;97.504;99.0342;98.4559;91.7269;97.03322;99.61365;96.40778;80.8823;90.77749;86.47803;88.17538;93.699;98.8597;93.24406
16;93.14099;91.86412;92.63355;93.38809;91.78988;96.90154;95.3406;96.71524;94.95993;96.98412;94.80371;89.7224;93.079;95.59879;92.96838;94.8705;92.1697;96.8722;95.7824;97.3539;93.03815;92.8038;95.3097;92.1372;91.8614;98.1394;92.6322;97.1653;124.1217;116.7575;110.8116;115.4851;105.393;110.4092;117.1033;124.0107;109.7;110.2753;112.624;117.6134;117.7049;119.5906;123.1401;130.3868;121.0844;105.3567;117.4999;109.296;103.45059;104.437;104.437;104.87349;107.35529;107.35529;107.35529;98.11063;107.6581;104.0805;105.165;90.5996;82.5526;85.3508;96.2718;89.27499;98.75;85.74089;91.05;98.5612;96.9113;87.2437;92.1466;95.0995;93.5222;91.9539;94.347;94.7991;104.3913;99.6025;97.201;95.2435;98.6868;85.7992;88.8195;92.483;90.8328;96.761;98.7689;98.4395;92.8917;96.40447;99.17897;96.66969;83.35115;92.96478;88.61591;88.41554;95.5854;99.739;94.20323
17;93.43919;91.45908;91.55084;93.45928;91.54188;95.87108;94.9374;96.41651;94.91433;97.02946;94.92086;88.8513;92.8892;95.40087;92.47901;94.9608;90.4525;96.1433;94.2286;96.0282;92.67453;91.8966;94.5343;91.4632;91.3195;97.1086;92.5056;97.3518;119.6357;114.4096;110.1367;116.3709;105.4667;109.7462;116.9417;122.8751;109.663;109.5949;110.076;117.666;116.7826;118.3606;122.0316;130.3493;121.1781;105.0843;115.6573;108.512;102.69971;105.121;105.121;104.34619;108.49019;108.49019;108.49019;97.83047;106.2026;103.4382;106.459;88.8382;81.98372;84.9427;96.3111;89.09279;96.7548;85.42233;91.5449;98.1173;96.4439;87.1999;91.0949;92.661;90.7435;92.9099;94.3916;93.5995;101.9883;98.2283;96.2214;97.4853;101.1579;85.4148;88.1684;92.2457;91.9584;96.548;97.7107;97.6178;91.2934;95.85843;99.01822;95.97636;83.25227;92.50263;86.58539;88.17237;94.7878;98.6649;93.55642
18;93.41538;91.44759;91.45544;93.44525;90.50773;95.63704;94.937;95.99548;95.0889;97.02815;94.05118;88.4279;92.4901;94.99501;92.93251;94.2048;89.7035;94.3469;93.4989;95.4317;92.12186;91.1085;93.7247;91.0456;90.0876;95.8779;91.7677;95.8894;120.6575;114.1658;109.6231;115.1532;104.4308;108.6694;116.2589;120.916;108.219;108.8204;110.273;117.2575;115.1179;116.9523;121.103;128.2638;118.6833;104.2385;114.1478;106.401;102.89834;105.759;105.759;104.63892;107.97015;107.97015;107.97015;97.74078;106.4749;102.7529;105.882;88.4672;82.53101;85.6135;94.9187;88.95505;95.6194;85.46537;88.9586;97.1778;95.8734;87.0277;85.7206;91.934;90.3972;92.7534;94.2474;92.3629;99.7038;98.0794;95.831;95.1138;97.3423;85.2732;86.8185;91.3309;91.078;94.2152;97.6365;97.837;93.1056;96.48602;98.61164;95.92526;81.08789;90.22071;87.67723;88.87406;95.1155;99.0914;92.28149
19;92.02316;91.43062;91.08466;92.84132;91.44511;95.03045;94.4381;95.88354;95.29836;96.78048;94.30911;86.7414;91.8795;94.61414;91.83018;94.3283;90.268;94.8553;92.5747;94.6895;91.96439;90.7059;92.9594;90.2812;89.8612;95.26;90.5694;95.2787;120.2672;113.3984;108.9348;113.8833;103.4765;107.5928;115.7542;118.8657;108.183;108.1578;109.497;117.0539;114.1957;116.7819;118.7749;127.3605;118.1392;103.9409;113.1693;107.081;103.09939;106.64;106.64;104.73378;108.83757;108.83757;108.83757;98.5092;106.2306;102.0886;104.362;88.4657;82.10866;85.4003;93.7819;87.01122;97.0272;84.97905;90.289;96.7048;95.2311;86.2226;89.7717;89.5799;86.0993;92.1367;93.3966;90.3107;99.0266;97.91;95.4364;95.0973;97.6106;83.9248;87.0604;89.3492;91.4642;96.0419;97.0146;97.6986;92.745;96.49377;98.57064;96.43233;83.14111;92.17104;87.2774;91.83667;94.3674;98.1663;92.91492
20;92.78967;91.28008;91.71215;93.03235;91.26747;94.48792;94.354;95.60727;94.97337;96.57491;94.04967;87.8919;91.3722;94.70848;92.78562;93.6386;89.1992;94.5845;92.2166;93.1691;91.56901;90.4226;91.9069;90.3716;89.4501;94.3553;91.1557;94.0783;117.9999;112.132;108.4738;112.8935;102.6627;106.8161;116.7751;117.9692;107.982;107.4924;106.475;115.7513;113.3176;115.6168;117.2751;126.1756;117.0704;103.1819;111.777;106.375;102.16075;107.152;107.152;104.46704;108.27431;108.27431;108.27431;98.22958;106.0451;101.8371;104.854;88.0946;82.63042;85.3779;90.5309;87.49926;96.7661;84.79792;89.9386;96.0852;94.5915;85.8519;88.272;89.3438;86.5788;91.894;93.1909;87.708;97.2808;97.1663;94.7979;93.1716;95.7178;84.0502;85.5644;89.8957;91.8946;95.7986;97.5055;97.4739;92.7583;96.59507;97.47207;96.40966;82.88795;91.82785;87.68247;88.55641;93.5217;97.3931;91.69545
