time;P5mM.1;P5mM.2;P5mM.3;P10mM.1;P10mM.2;P10mM.3;P20mM.1;P20mM.2;P20mM.3;P40mM.1;P450uM.1;P40mM.2;P60mM.1;P60mM.2;P60mM.3;P100mM.1;P100mM.2;P100mM.3;C5mM.1;C10mM.1;C10mM.2;C20mM.1;C40mM.1;C40mM.2;C60mM.1;C600uM.1;C100mM.1;C100mM.2;P900uM.1;P900uM.2;P900uM.3;P900uM.4;P900uM.5;P750uM.1;P750uM.2;P750uM.3;P750uM.4;P750uM.5;P600uM.1;P600uM.2;P600uM.3;P600uM.4;P600uM.5;P600uM.6;P600uM.7;P450uM.1;P450uM.2;P450uM.3;P300uM.1;P300uM.2;P300uM.3;P300uM.4;P300uM.5;P300uM.6;P150uM.1;P150uM.2;P150uM.3;P150uM.4;P75uM.1;C5mM.2;C5mM.3;C10mM.1;C20mM.1;C20mM.3;C20mM.4;C20mM.5;C20mM.6;C20mM.7;C20mM.8;C40mM.1;C40mM.2;C40mM.3;C40mM.4;C40mM.5;C40mM.6;C40mM.7;C40mM.8;C40mM.9;C40mM.10;C40mM.11;C40mM.12;C60mM.1;C60mM.2;C60mM.3;C60mM.4;C60mM.5;C60mM.6;C100mM.1;C100mM.2;C100mM.3;C100mM.4;C100mM.5;P5mM.2;P10mM.1;P10mM.2;P10mM.3;P20mM.1;P20mM.2;P20mM.3
21;92.65399;90.81992;92.03746;93.35228;91.4258;94.90263;94.1974;95.91644;94.80668;97.07148;93.99086;86.2523;91.3085;93.86371;93.23621;93.6707;89.2886;94.2907;91.9773;92.4554;92.19661;90.0803;92.1101;90.2316;88.8788;94.6566;90.1213;93.5306;117.0572;110.8332;107.7644;112.1812;102.5363;106.1025;116.7414;116.3587;107.813;106.3152;105.245;115.1908;112.3367;114.6336;116.59;125.23;116.8606;102.7336;110.5233;107.961;102.13345;107.472;107.472;104.19801;106.43808;106.43808;106.43808;98.91458;104.9773;100.8501;103.512;87.0306;81.91801;83.3706;92.1444;88.89068;95.4399;82.66454;88.4996;95.6171;93.853;85.2985;86.997;89.1177;86.4525;91.3885;92.5671;89.2519;95.8512;96.7299;95.5076;93.7167;95.9808;82.6351;85.1876;88.4755;91.1706;96.1369;97.3597;97.5698;94.1402;96.07774;98.34148;95.88614;82.30072;91.15448;87.41462;88.62272;93.1794;96.6749;91.44002
22;92.98021;90.82901;91.66019;93.00339;90.46156;94.46485;94.4487;95.62633;95.12842;96.3024;94.24343;87.1586;91.4645;94.22253;92.77787;93.0348;88.8071;93.953;92.1885;93.0371;91.76812;89.8443;92.3247;89.8812;88.4189;93.9416;90.6178;93.6627;115.683;110.2781;107.0177;109.75;102.0448;104.1337;116.7906;115.3286;107.725;107.3098;104.748;114.629;111.308;113.3673;115.202;124.1759;115.4966;101.2547;110.1701;107.735;102.15156;107.773;107.773;104.52601;106.85104;106.85104;106.85104;98.35026;105.463;100.5705;102.296;89.5282;81.67578;85.1831;91.1063;87.94445;95.8985;84.73614;87.0617;94.5255;93.9668;85.4264;85.3889;89.0634;87.2002;90.6305;91.7151;88.318;95.5889;95.6742;94.7187;93.4368;95.0807;84.6224;83.5466;88.5105;91.9858;95.486;96.7151;97.2702;92.6013;96.31065;97.85296;95.91688;80.19256;88.9304;88.46975;89.07634;92.8591;96.2807;91.9128
23;92.88284;91.40636;91.40807;92.7109;90.43815;93.95847;94.0856;95.52413;94.49991;96.37416;94.44466;85.4902;90.8466;93.65856;92.23346;93.0282;88.5837;93.7896;91.3004;92.0383;91.72044;89.4765;91.575;89.5951;88.2156;93.0316;90.2801;93.2459;114.7311;109.0183;106.8241;110.3946;101.8383;103.5832;116.5195;114.1695;107.143;106.7319;104.024;114.6252;110.3692;112.2992;114.3476;121.5187;112.8604;100.7844;109.8115;108.246;102.04897;108.474;108.474;104.67441;106.78725;106.78725;106.78725;98.75912;103.6682;100.7452;101.473;86.971;82.8558;83.5032;91.5131;87.69016;95.6916;84.31506;88.9002;94.9339;93.1968;84.8489;86.6129;88.5126;86.3151;89.3028;90.713;85.5775;94.1225;96.3813;94.8024;91.754;94.6242;84.2811;83.5723;90.5773;90.3282;95.6525;96.8194;97.8545;90.9579;96.03793;97.79044;96.12573;82.60343;91.45601;87.20051;89.38022;93.0704;96.4778;91.30635
24;92.49461;91.05157;90.561;92.09977;90.78072;93.4157;94.1903;95.51498;95.10999;96.67468;93.86189;86.7764;91.1975;93.30315;92.17973;92.9684;88.2208;93.4208;91.6427;91.2063;91.31837;89.7711;91.504;89.151;87.7825;93.1651;90.2456;92.1578;113.6138;107.2775;106.1523;108.5828;100.9054;101.1489;116.3233;112.8795;106.883;105.3341;104.544;114.248;109.7431;111.6384;113.7314;121.5304;113.8504;100.7062;109.6474;107.359;101.75491;108.625;108.625;103.96494;106.4464;106.4464;106.4464;98.85923;103.7598;99.4401;100.831;86.9417;82.16199;84.8363;91.2599;87.87225;95.8005;84.20503;88.4789;94.416;92.1234;83.3879;85.4657;87.9605;85.7214;90.8845;91.8806;87.1374;93.1452;95.5305;94.1289;93.0947;95.1354;83.8871;84.2317;89.9289;91.0444;95.3207;96.4559;96.751;90.8119;96.51118;97.85921;95.99052;82.55813;90.74174;85.72688;88.78856;92.426;95.7538;91.61813
25;92.41102;91.25375;91.03471;92.33018;90.92937;93.25176;93.6614;95.65176;94.89024;96.72882;94.11503;86.7468;90.2137;93.26414;92.26029;92.8399;88.59;92.9881;91.6621;90.3944;91.10584;89.4908;91.1489;89.055;88.3243;92.7515;89.8886;92.1203;112.7176;107.4854;105.5992;108.1942;100.2817;100.8764;116.1703;111.9116;106.587;105.4672;103.953;113.0382;109.3688;111.651;112.8976;120.2229;112.5602;100.2186;108.7027;109.025;101.00744;108.935;108.935;104.61739;106.80102;106.80102;106.80102;98.62903;104.2057;100.4607;100.327;86.4771;81.92843;84.8004;91.0316;87.42358;95.2449;82.07777;87.5175;93.3786;91.6173;83.1938;85.0452;87.75;84.9253;89.991;91.1596;86.8515;93.3728;93.8165;94.3375;91.2408;93.97;82.4329;85.6306;89.7684;91.5516;95.2528;96.6178;96.5887;91.8989;95.77682;97.87638;95.98743;80.40528;89.14548;86.9379;88.74115;92.1163;95.5706;91.26271
26;92.26121;91.03392;91.23592;92.6214;90.86981;93.42874;94.0514;95.33202;94.95605;96.25857;93.60403;86.8488;90.4093;93.31095;92.52788;92.5639;88.1524;92.6181;91.6408;90.1307;90.72426;89.0956;90.5835;89.1244;88.144;91.9006;89.3049;91.9791;112.0604;106.8274;105.688;107.6163;101.1718;102.1258;115.3629;111.1207;106.568;104.8481;102.896;112.3308;108.8487;110.5749;112.3682;119.399;112.757;100.013;109.3913;108.741;102.18526;109.045;109.045;104.91837;106.43925;106.43925;106.43925;97.7563;103.1524;99.9333;99.149;88.3089;81.94856;84.8406;88.8127;87.03609;93.9361;81.66265;87.31;93.6349;92.3925;84.06;84.0266;87.5157;84.711;89.7391;90.9569;85.9641;89.7833;95.667;93.7585;92.5434;93.9568;84.0928;84.4043;89.0103;90.7228;95.5378;96.2118;96.767;91.4663;96.06796;97.92999;95.42877;79.97553;88.54981;86.85349;88.65472;89.9014;93.7594;91.02029
27;92.45148;91.22672;90.93863;92.52917;91.15024;93.66973;93.8438;95.20699;94.97965;96.49266;94.02273;86.5042;90.7658;93.38708;92.56769;92.6633;87.8178;92.5702;91.6758;90.3763;90.93073;89.0257;90.9707;87.901;88.1922;91.865;89.4327;91.0259;110.9973;106.4591;105.3944;106.2621;99.8781;101.5791;113.1941;110.1871;106.592;105.6175;102.082;112.5428;108.1372;110.1174;111.8262;117.152;112.4603;99.3274;109.2587;107.296;100.83593;109.036;109.036;104.07313;105.91048;105.91048;105.91048;98.41696;102.2342;98.8491;99.626;87.6344;82.98994;84.5542;89.4231;86.9681;94.4131;81.70663;86.4425;92.4943;91.7603;83.7048;84.6094;86.775;83.6267;87.0689;89.127;83.9713;91.7332;95.3315;93.4786;90.6134;93.196;83.5668;84.5253;89.7402;90.6046;95.3208;95.3608;97.376;91.2512;95.98035;98.01184;95.94208;82.13591;89.76381;85.89296;86.7547;90.7292;94.6396;90.49242
28;92.29058;89.89948;90.92536;91.95658;91.31847;93.38074;93.4323;95.23377;94.17537;96.09908;93.51512;86.646;89.1102;92.99557;92.36762;91.8549;86.6605;92.1032;90.4121;89.9453;90.84613;89.0472;90.8169;88.1528;88.3318;92.4431;88.3406;90.1721;107.2955;104.6092;104.0891;104.9736;99.0322;99.5544;110.2819;108.0258;106.251;105.4633;102.164;109.2051;105.6584;107.7342;108.8494;112.9754;109.685;98.1016;107.7565;104.483;100.4723;107.268;107.268;103.76333;104.88793;104.88793;104.88793;96.78068;101.5909;98.835;99.627;85.1758;82.27148;83.8894;88.1901;87.00012;93.3725;82.75597;86.1024;89.7865;90.0354;83.5002;83.9542;86.1938;81.826;88.2167;89.7698;84.1893;89.8366;93.6627;93.8079;91.2595;93.2236;84.2597;83.8766;89.146;90.3344;94.8073;96.3179;96.8734;91.3316;95.85135;97.99008;95.63342;82.16774;89.2302;86.5958;87.93606;87.375;92.0941;89.7207
29;91.65518;91.06352;91.51551;92.21483;90.83699;93.33942;93.8149;95.06686;94.66586;96.3634;93.54774;86.7451;89.0407;92.56934;92.35129;91.8967;87.4724;91.0633;90.647;89.8446;90.46964;88.4606;90.3374;88.7873;87.5146;90.2439;88.6324;90.29;104.2427;102.6296;103.88;102.9494;97.7791;99.393;106.9445;105.1934;105.09;104.3048;100.588;106.5302;104.6316;107.4205;107.1835;108.6983;107.2484;97.1478;104.5756;101.904;99.87476;105.478;105.478;103.96126;104.72269;104.72269;104.72269;97.2184;100.1555;97.6918;98.662;84.1749;83.60152;83.6878;87.7146;86.24418;92.4214;83.35176;85.1737;88.9076;89.5533;83.6427;83.8853;86.2748;82.3958;87.5582;88.8641;83.2857;89.3296;93.9109;93.1473;90.6869;92.6481;84.3355;83.5747;89.2337;90.7586;94.4333;95.6948;96.1632;89.9194;95.54274;97.92326;95.44669;81.69057;88.14172;86.43862;88.03981;86.8999;91.6722;87.81409
30;91.94492;90.6911;90.89652;91.79218;90.8914;93.29897;93.7067;94.94628;94.36083;96.70714;93.53153;86.7478;89.2724;93.09007;92.45293;92.0115;87.7793;90.8186;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;101.1817;101.4218;101.6054;101.4743;97.1005;99.685;103.9723;102.7898;104.286;102.2062;100.784;103.2754;102.7928;105.0079;105.2276;104.6282;103.2812;96.4546;103.6709;100.473;99.00489;103.772;103.772;103.10481;104.29011;104.29011;104.29011;95.19305;99.3188;97.4647;98.198;85.3069;83.40569;81.7472;87.2921;85.82865;92.2861;80.58051;84.6409;88.2378;89.3291;83.6789;82.5137;85.8313;80.3391;84.8177;87.2902;82.3223;88.3528;93.1565;92.3999;88.7888;92.0637;82.382;83.5213;88.9396;90.4135;94.9196;94.9449;97.1446;90.5326;95.81242;97.82379;95.24349;82.34293;88.21507;86.06418;87.83009;88.0665;92.8445;88.30238
31;91.98501;91.10397;91.04453;92.17829;90.68255;93.59234;94.1502;95.82517;94.55646;96.12901;93.71884;86.39;89.315;93.25185;92.16055;91.4332;87.7037;91.3774;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;99.5738;98.7939;100.581;99.3511;95.4652;97.4706;101.6039;100.7;104.354;102.3122;99.524;100.1777;101.9562;103.1623;103.9679;103.9667;103.8252;95.1238;104.1514;99.356;98.55067;102.181;102.181;102.36272;103.16322;103.16322;103.16322;94.26801;99.1211;97.2161;98.511;82.878;82.96169;81.1263;86.884;84.59858;93.6109;80.9226;82.9316;87.669;88.878;82.7122;83.4083;85.1298;79.3527;86.6373;88.0673;80.2219;87.3883;93.2348;93.1985;90.5199;92.2077;82.8713;83.4919;88.6121;90.5272;94.5026;95.294;97.0421;91.2932;95.65224;97.76797;95.2796;80.20521;86.2604;84.60049;87.6208;85.9544;91.2269;87.81192
32;91.71101;90.78933;91.2404;92.12096;91.29799;93.55825;93.6693;95.30214;94.7098;96.22006;93.8571;86.4505;89.133;92.85102;92.15015;91.474;87.5482;90.9982;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;98.189;98.4991;100.7306;98.948;95.4479;96.6661;100.3701;98.7934;103.049;100.618;99.317;98.8541;100.5003;101.9773;102.8749;102.3717;102.774;94.5266;102.4018;98.682;98.32966;100.72;100.72;101.96503;102.98514;102.98514;102.98514;94.57885;98.8474;96.8129;98.176;84.2054;83.52869;83.2607;86.6351;85.73181;95.1306;81.0218;84.5712;87.681;89.1637;82.8476;83.6579;84.9277;79.2262;85.8153;87.4616;79.7353;86.8252;93.8171;93.4056;89.237;91.8953;82.7207;83.1134;88.7905;90.9395;94.9329;94.5866;97.3576;92.3201;96.09415;98.17236;95.10326;80.33033;86.17175;85.78282;86.87582;87.629;92.3586;87.8762
33;91.90841;90.56526;91.01899;91.71613;91.04938;93.59753;94.6186;95.12763;94.5125;96.40317;94.21506;86.5889;88.5316;93.02501;92.02539;91.4088;87.1456;91.4263;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;96.4214;96.7008;100.4301;97.1843;93.931;98.5854;98.5188;97.7917;103.409;99.5484;97.63;97.0697;99.8376;101.2251;101.5856;101.1528;101.8922;93.8479;102.8863;98.966;98.08298;100.14;100.14;102.54289;102.66;102.66;102.66;94.75061;97.9628;96.4606;96.973;83.6103;83.43015;83.2425;86.1995;85.08102;95.4743;83.61133;84.7798;87.478;90.6348;84.5242;83.3287;85.5352;80.2741;84.551;87.2014;81.3274;87.1802;93.633;93.623;91.6285;92.6885;83.2544;83.9455;87.6626;90.9141;94.9303;94.8777;97.2916;92.1078;96.20558;97.98264;95.80715;81.85359;87.15506;85.61428;88.32787;87.3091;92.1448;87.5918
34;91.73035;90.96062;91.04758;92.01794;90.87506;93.62419;93.8738;95.79049;95.13569;96.50279;93.14286;86.2257;89.1308;92.73587;92.34648;91.5955;86.9851;90.1441;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;95.3395;96.8314;99.3229;94.5684;93.7302;98.327;97.1321;96.6358;101.438;100.877;97.541;95.7045;98.9106;99.4745;100.7586;100.2372;101.3972;93.3961;103.0171;97.497;97.42799;99.645;99.645;102.26767;102.03471;102.03471;102.03471;93.37562;97.6855;95.665;97.934;84.2823;83.49246;82.9883;86.7333;86.08295;97.7618;80.94451;84.942;86.6506;90.4587;84.5245;81.3244;84.7444;78.2399;86.1858;88.028;81.1738;87.1205;94.1606;92.0971;91.46;92.4479;83.5722;83.4104;89.0685;90.651;94.5823;94.8972;97.2552;92.5475;96.29671;98.27565;96.05464;81.48371;87.06872;84.71294;86.32767;85.3217;90.3367;87.19004
35;91.93044;90.52382;91.04849;92.12359;90.80381;93.17596;93.964;95.75194;94.71826;96.57194;93.5611;86.4503;87.8329;92.71196;92.09025;92.1614;87.066;91.3226;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;94.9111;95.3923;99.0145;95.6417;93.6334;98.4033;96.7994;94.8735;101.599;99.7712;97.361;95.0297;98.5665;98.7476;100.1178;99.9859;100.6133;92.8104;103.211;97.267;97.27622;99.112;99.112;102.44458;102.17829;102.17829;102.17829;93.97542;97.206;95.8162;98.428;83.396;83.87378;83.16;85.5717;86.62601;99.6423;81.96623;83.4049;88.0003;88.5862;83.2947;83.3021;84.1889;75.5075;87.1905;88.9005;78.8549;86.9591;94.0908;93.8473;91.5176;92.3592;83.9911;82.2774;88.9007;91.2395;95.2287;95.391;97.6466;93.4253;95.84921;98.45103;95.71598;81.41602;86.64391;85.78253;85.17346;87.2543;92.2248;86.81985
36;90.79171;90.96666;90.84404;91.61922;90.8184;93.80978;94.1445;95.47519;95.30052;96.36124;93.67323;86.6568;89.3902;92.38622;91.83881;92.0375;87.4247;90.0455;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;94.1398;95.2857;97.5789;93.801;92.9435;96.4712;95.5484;95.1239;101.665;99.1796;96.356;94.5256;98.7976;98.7658;99.5882;99.6903;101.165;92.7827;102.9465;97.146;97.1647;98.595;98.595;101.80487;101.6595;101.6595;101.6595;93.49809;95.9623;94.1431;98.223;83.2369;84.16605;83.4006;84.9146;86.39763;99.9315;83.60956;84.5877;87.6273;90.1007;84.1098;83.52;86.6085;81.5439;86.5238;88.4967;81.0523;87.0278;94.4807;93.6192;91.5852;92.5137;83.414;84.3464;88.3936;90.9281;95.6077;95.1125;97.7429;91.3329;96.23557;98.52578;95.66355;79.05008;84.76171;85.77283;87.01295;86.5483;91.9131;87.31105
37;91.76934;90.38825;90.97081;92.23031;90.20335;92.87091;93.7113;95.65771;95.17264;97.00947;93.48576;85.7711;88.7456;92.83932;91.92315;92.2399;86.8049;90.9998;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;93.5922;95.2415;98.3457;92.0052;92.1928;98.1355;94.675;94.4165;101.754;98.6251;96.439;92.8216;99.1061;98.3368;98.8998;99.0211;99.9092;92.2736;102.3022;97.126;96.76279;98.567;98.567;101.85914;101.51186;101.51186;101.51186;93.18764;96.1596;94.6586;97.85;83.7412;84.37345;83.7907;87.1242;87.36475;99.8807;83.45993;84.7788;87.8435;88.7516;84.0681;83.5604;86.2633;81.0395;87.4414;89.3699;79.824;87.5508;94.7008;93.5602;91.7261;92.0888;83.7869;84.2852;89.0703;91.7648;95.7581;95.646;97.3287;93.422;96.54021;97.61612;96.03467;82.00415;86.97032;85.68411;89.48618;87.0688;92.2341;87.55865
38;92.50697;90.61387;91.20942;92.0881;91.15724;92.94676;94.2144;95.54301;95.40744;96.89357;93.47402;86.2903;89.1768;92.84251;92.0635;92.592;87.1728;91.4387;89;85;90.42984;88;90;87;87;89;88;89;92.825;95.0201;97.6099;93.1633;92.4361;97.8296;94.1853;93.4571;100.656;98.433;95.975;93.176;98.199;96.6078;98.6112;99.1389;100;92.0732;102.3471;96.98;97.04098;97.746;97.746;102.52235;101.69551;101.69551;101.69551;93.32271;96.8352;93.8058;98.551;83.7763;85.05512;83.729;87.7449;87.22131;99.3645;83.41424;83.4127;87.8864;90.1788;85.0776;79.3783;86.8535;81.5899;87.4135;89.5057;81.9241;87.3677;94.7018;93.4013;91.4817;92.1283;84.668;84.5009;90.2659;90.4143;96.2206;95.5095;97.5428;92.934;96.68686;98.78032;96.1976;81.43153;86.88831;84.87114;85.7505;87.2986;92.6181;87.2058
39;92.97737;91.68499;91.31081;93.57922;91.13477;93.03127;96.5275;98.36314;97.44015;99.58942;93.77984;86.0581;89.2799;92.66844;92.2346;92.4035;86.8293;91.8648;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;92.3294;94.5359;97.6606;92.5629;91.7653;97.5353;93.9444;93.2341;101.534;98.1275;95.778;93.1316;96.5647;96.2463;98.3201;98.5167;99.6091;92.1329;102.7167;97.412;97.10186;97.961;97.961;102.17992;102.02089;102.02089;102.02089;93.12488;96.7689;95.0355;98.099;83.1357;84.46065;83.4935;87.6321;87.67417;98.5226;81.06866;83.2406;88.3824;91.7176;86.2075;80.1017;85.6224;78.0577;88.7884;90.6836;82.7197;87.3128;93.7026;93.919;92.3776;93.3967;84.9167;85.1247;90.4684;92.0353;96.4451;96.0414;97.9647;92.2689;96.76454;98.49953;95.76701;79.36068;85.35306;85.62979;86.71066;85.6985;91.2656;86.54201
40;94.3886;92.80997;91.25746;94.83017;91.15018;92.47726;103.381;101.44511;98.08147;100.9611;93.88133;85.7619;89.1928;92.91391;92.5395;92.3712;86.921;91.3916;90.1881;89.7338;90.42984;88.1486;90.4298;88.505;87.4758;91.0957;87.8091;90.1151;92.4259;94.7502;94;91.3652;91.7105;97.5694;91;94.106;102.341;95;95.35;92.3527;94;93;98.2096;95;98;92.808;101.2768;95;96;96;96;102.65578;102.28309;102.28309;102.28309;93.42329;94;93.881;98.541;81;85.58437;82.5004;86.5855;87.90903;98.5906;83.14286;84.9405;88.1728;91.1636;85.7807;83.2435;86.0119;79.0485;87.9711;89.9454;82.3732;84;92;94.151;91.2885;92.7307;84.8829;84.478;89.4663;90.1449;95.7925;96.8752;97.9737;92.9124;96.55444;98.64725;96.13422;83.55209;88.35671;85.98129;85.97664;87.2091;92.2282;87.71403
